ac,cal,cnl,den,gr,pe,rt10,rt20,rt30,rt60,rt90,toc
199.631,8.5802001953,6.446,2.0618999004,14.989100456,8.0240001678,1950.0,1950.0,3.5676000118,37.57460022,117.61470032,0.3790000081
198.907,8.5558996201,6.17,2.0880999565,14.482999802,8.0,1950.0,1950.0,3.7994000912,54.653198242,118.55049896,0.3637000024
199.609,8.5740995407,6.9933,2.1075000763,14.697600365,8.017999649,1950.0,1950.0,3.9237000942,63.4897995,118.53489685,0.3522999883
200.313,8.5982999802,6.942,2.125,14.48279953,8.0419998169,1950.0,1950.0,3.7781999111,70.69909668,122.06310272,0.3420999944
201.211,8.543800354,6.5623,2.0441000462,14.168399811,7.9879999161,1950.0,1950.0,3.7107999325,51.343799591,124.48220062,0.3894000053
202.547,8.5195999146,6.4795,1.9871000051,12.856599808,7.9640002251,1950.0,1950.0,4.0721001625,71.808601379,134.61309814,0.4226999879
203.851,8.5317001343,6.4208,1.966899991,11.754799843,7.9759998322,1950.0,1950.0,4.7828001976,77.604400635,147.82820129,0.4345999956
206.0,8.5074996948,6.812,1.9903000593,10.75249958,7.9520001411,1950.0,1950.0,4.064499855,83.891403198,162.83380127,0.4208999872
207.625,8.5256996155,7.0953,1.9756000042,11.189399719,7.9699997902,1950.0,1950.0,3.7139999866,83.930999756,172.97309875,0.4295000136
208.0,8.5074996948,7.1295,1.9751000404,11.628299713,7.9520001411,1950.0,1950.0,3.837100029,96.433601379,172.17210388,0.4298000038
207.844,8.5136003494,6.6995,1.9775999784,14.261599541,7.9580001831,1950.0,1950.0,4.2771000862,97.229499817,158.42100525,0.4282999933
208.625,8.5015001297,6.622,1.9527000189,13.603599548,7.9460000992,1950.0,1950.0,3.8380999565,100.01860046,143.25419617,0.4427999854
211.036,8.5074996948,7.9378,1.953799963,13.825099945,7.9520001411,1950.0,1950.0,3.3731000423,101.26989746,124.24669647,0.4422000051
213.4,8.5015001297,7.857,1.9746999741,12.727899551,7.9460000992,1950.0,1950.0,3.3638999462,122.98629761,116.99469757,0.4300000072
214.928,8.5136003494,12.3188,2.010299921,13.168399811,7.9580001831,1950.0,1950.0,3.2936999798,136.05389404,97.791297913,0.4092000127
217.308,8.4954004288,14.13,2.0048999786,12.069199562,7.9400000572,1950.0,1950.0,3.1322999001,127.85040283,75.741401672,0.4124000072
220.88,8.5136003494,14.7483,2.0164999962,11.849699974,7.9580001831,1950.0,1851.9309082,2.9035000801,95.068199158,55.195899963,0.4056000113
226.299,8.4954004288,17.044,1.995200038,11.849699974,7.9400000572,1950.0,1539.0111084,3.0236999989,57.050201416,46.762298584,0.4180000126
230.921,8.5136003494,17.8453,2.0088999271,13.824700356,7.9580001831,1950.0,1125.9094238,3.2111001015,37.583400726,39.538799286,0.4099999964
233.385,8.5015001297,16.344,2.0137999058,13.161999702,7.9460000992,1950.0,740.99707031,3.2899999619,21.618700027,26.410400391,0.407099992
234.517,8.5074996948,15.019,2.0253000259,13.383399963,7.9520001411,1950.0,483.01629639,4.5609002113,17.17550087,24.539499283,0.4004000127
235.295,8.4954004288,15.578,2.0271999836,12.507699966,7.9400000572,1950.0,338.76269531,5.3558998108,18.632499695,28.47480011,0.399300009
234.929,8.5136003494,13.2093,2.0506999493,12.731499672,7.9580001831,1950.0,267.3164978,8.069899559,10.501099586,15.512800217,0.3855000138
233.324,8.5015001297,14.028,2.0739998817,12.729599953,7.9460000992,1950.0,237.81430054,5.9387998581,7.3246998787,9.8339004517,0.3718999922
230.483,8.5136003494,14.969,2.0999000072,13.699999809,7.9580001831,1950.0,237.07060242,3.1870000362,10.213199615,7.3253002167,0.3567999899
227.114,8.5015001297,15.1335,2.2012000084,13.041600227,7.9460000992,1950.0,207.19389343,1.9205000401,6.2547001839,7.3656001091,0.2976000011
224.525,8.5015001297,13.3858,2.418900013,15.236000061,7.9460000992,1950.0,130.22239685,1.2015999556,14.000800133,3.5671000481,0.1702000052
223.039,8.4711999893,14.047,2.6275999546,19.749500275,7.9159998894,1950.0,293.0329895,0.8102999926,3.1238999367,2.8122999668,0.0482000001
222.739,8.5256996155,14.0665,2.6912999153,23.041099548,7.9699997902,1950.0,101.52149963,0.5982000232,6.0734000206,6.5584001541,0.0109999999
223.189,8.664899826,13.9045,2.4567000866,25.00799942,8.1079998016,1936.7858887,30.581600189,0.4683000147,3.8880999088,4.8162999153,0.1481000036
224.137,9.1491003036,12.743,2.2704999447,21.719600677,8.5880002975,272.35150146,12.529100418,0.3957000077,2.7688999176,3.0041000843,0.2569999993
225.563,9.3003997803,12.183,2.1833999157,21.723199844,8.7379999161,109.54579926,7.067800045,0.3585999906,2.4855999947,3.0083999634,0.3079999983
227.428,9.2701997757,12.2503,2.1598000526,19.99090004,8.7080001831,42.285499573,5.8133001328,0.34799999,2.6375000477,3.0020000935,0.3217999935
229.202,9.421500206,14.7685,2.1970000267,21.739200592,8.8579998016,21.014299393,4.2969999313,0.3605000079,3.0134000778,3.1312999725,0.3000000119
229.367,9.5909004211,15.085,2.1986999512,21.296699524,9.0260000229,13.365099907,4.1108999252,0.3966999948,2.7644000053,2.3633999825,0.298999995
228.747,9.6937999725,15.25,2.2163999081,22.601999283,9.1280002594,10.318099976,3.8805999756,0.4620999992,2.7262001038,2.3742001057,0.2887000144
227.719,10.565400124,15.3765,2.280299902,21.069999695,9.9919996262,7.5320000648,3.5806000233,0.5691999793,3.4258000851,2.1946001053,0.2513000071
226.494,11.697200775,15.4535,2.4205000401,21.289400101,11.11400032,5.8719000816,3.2967000008,0.7414000034,3.0559000969,2.2822999954,0.1693000048
225.242,12.012000084,16.906,2.6268000603,21.939800262,11.425999641,4.9306001663,3.4442000389,1.021600008,2.8794999123,2.320800066,0.0487000011
224.183,12.066399574,16.101,2.6903998852,21.717100143,11.479999542,4.9713001251,3.4825000763,1.4838000536,2.9691998959,2.8675000668,0.0115
223.589,12.163300514,14.9938,2.6733999252,21.281600952,11.576000214,5.1015000343,3.6458001137,2.1830000877,3.1909000874,3.3227000237,0.0214000009
223.527,12.302499771,14.072,2.6767001152,22.206600189,11.713999748,5.1413002014,3.8733000755,3.0327999592,3.348400116,4.0327000618,0.0195000004
225.245,12.411399841,15.122,2.6861000061,23.526500702,11.82199955,4.6838002205,3.7155001163,3.3447999954,3.6960999966,4.2381000519,0.0140000004
227.421,12.387200356,15.692,2.6368999481,23.995399475,11.798000336,4.0927000046,3.253000021,2.9505000114,3.2620000839,3.0399000645,0.0427000001
229.313,12.423500061,15.2783,2.6419000626,24.402399063,11.833999634,3.4807999134,2.8447999954,2.5611000061,2.7899000645,2.5281000137,0.0397999994
230.89,12.4477005,17.115,2.5401000977,25.938499451,11.857999802,2.9042000771,2.4361000061,2.2425999641,2.3908998966,2.1756999493,0.0993999988
